tank,diet,latitude,longitude,start_density,start_biomass,start_count,start_ABW,start_ABL,mortality_p,length_mm,width_mm,area_mm2,weight_g,condition
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,67.60,59.95,316.11,39.65,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,86.14,59.85,406.44,83.11,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,89.27,54.53,378.84,92.67,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,65.54,61.46,317.30,36.08,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,80.14,76.65,480.81,66.67,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,75.67,64.78,388.26,55.94,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.73,58.78,317.34,43.59,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.39,62.71,365.13,53.12,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.67,63.52,368.92,53.73,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.21,60.99,354.63,52.72,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,86.68,62.32,434.74,84.71,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,58.79,57.04,267.44,25.88,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,78.58,53.52,331.29,62.77,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.78,65.05,368.36,51.80,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.19,62.84,368.41,52.67,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.86,48.59,241.57,31.76,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.25,57.87,318.85,42.68,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,59.76,51.63,235.94,27.21,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,63.58,54.77,271.06,32.89,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.92,69.01,406.56,52.09,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,77.41,66.19,402.81,59.97,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,52.13,50.60,210.16,17.93,0.73
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.71,61.63,371.38,53.80,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,79.16,74.64,469.13,64.20,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,65.25,60.47,315.57,35.59,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.50,61.19,291.95,29.71,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.06,64.18,373.47,50.25,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,58.07,46.46,214.83,24.93,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.49,72.04,418.45,51.18,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,68.30,51.80,281.64,40.93,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.26,53.55,258.69,29.36,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.57,58.17,319.39,43.29,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.63,53.34,288.13,43.39,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,78.48,56.46,349.67,62.53,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,91.70,63.00,461.26,100.58,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,77.18,71.23,434.72,59.42,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,64.91,63.47,323.48,35.02,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,80.14,68.01,421.59,66.65,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,76.87,66.29,396.15,58.69,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,71.12,69.26,389.29,46.30,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.09,65.37,372.57,52.45,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,68.47,60.10,324.73,41.22,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,65.12,57.87,299.84,35.37,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,58.79,52.11,246.59,25.88,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,58.45,51.80,248.11,25.43,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,79.18,59.36,364.22,64.26,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,77.28,59.90,361.42,59.65,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,78.47,63.44,387.83,62.52,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,79.97,69.06,444.84,66.23,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,68.64,58.12,307.75,41.55,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,59.37,58.45,281.35,26.67,0.74
